"ags_federal_state";"n";"mean";"sum"
"01";18954;255,447937058141;4841760,199
"02";1461;114,933911704312;167918,445
"03";51790;160,848063158911;8330321,191
"04";1170;132,28847948718;154777,521
"05";97260;115,848169278223;11267392,944
"06";42709;86,045516214381;3674917,952
"07";30681;98,2174661842834;3013410,08
"08";112579;53,9375538244255;6072235,872
"09";133432;64,909805848672;8661045,214
"10";7846;88,7386308947234;696243,298
"11";2251;193,440285206575;435434,082
"12";13104;748,448723748474;9807672,076
"13";6124;407,165943337688;2493484,237
"14";13365;385,593987355032;5153463,641
"15";10163;321,178649119355;3264138,611
"16";9339;193,658933504658;1808580,78
NA;833;5259,81512605042;4381426
