"ags_federal_state";"n";"mean";"sum";"name";"year";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"income_per_tax_person";"solar_plants_per_1000_tax_person";"total_production_per_1000_tax_person"
"01";11564;58,680526461432;678581,608;"Schleswig-Holstein";2015;1399403;52757716;9024186;37700,1592822082;8,26352380265013;484,907927166084
"02";345;37,9818869565217;13103,751;"Hamburg";2015;961934;40760846;8522527;42373,8489335027;0,358652464722112;13,6222973717532
"03";28959;56,3617584861356;1632180,164;"Niedersachsen";2015;3883726;143788152;24375384;37023,2482930052;7,45649924840218;420,261409790495
"04";690;17,6829739130435;12201,252;"Bremen";2015;328028;11009830;1931863;33563,6896850269;2,10347897130733;37,195763776263
"05";58297;31,5492571315848;1839227,043;"Nordrhein-Westfalen";2015;8550931;329725172;58794216;38560,1488305776;6,81762021000988;215,090853031091
"06";27193;36,9737589453168;1005427,427;"Hessen";2015;3090718;126035742;23860082;40778,7905593458;8,79827923479269;325,305455560811
"07";18161;46,866550740598;851143,428;"Rheinland-Pfalz";2015;1984234;74086385;12660061;37337,5242032946;9,15265034265112;428,95315169481
"08";70991;47,0938360214675;3343238,513;"Baden-Württemberg";2015;5585459;234500838;43447022;41984,166028253;12,7099670770119;598,561105363051
"09";81774;36,5288689069875;2987111,726;"Bayern";2015;6723412;282756784;53320705;42055,5491765193;12,1625745975407;444,285093045019
"10";5965;31,5816015088013;188384,253;"Saarland";2015;471605;16480528;2661234;34945,6176249192;12,6482967737831;399,453468474677
"11";639;40,8770250391236;26120,419;"Berlin";2015;1729258;59020646;10829867;34130,6190285082;0,369522650755411;15,1049866474523
"12";4901;204,618642113854;1002835,965;"Brandenburg";2015;1135594;37998824;5941551;33461,6280114196;4,31580300706062;883,093750935634
"13";2685;142,742296834264;383263,067;"Mecklenburg-Vorpommern";2015;712073;21854834;3219656;30691,8447968116;3,7706808150288;538,235640166107
"14";5824;92,0050755494506;535837,56;"Sachsen";2015;1855219;57344952;8499708;30910,0715333338;3,13925202361554;288,827119601513
"15";4230;133,087073522459;562958,321;"Sachsen-Anhalt";2015;992643;30206510;4380290;30430,3863523946;4,2613507575231;567,130701571461
"16";4755;94,7503120925342;450537,734;"Thüringen";2015;988948;30536702;4426429;30877,9652721882;4,80813955839943;455,572723742806
